question,option1,option2,option3,option4,correct_option,explanation,difficulty
What is the capital of France?,London,Paris,Berlin,Madrid,option2,Paris is the capital and largest city of France.,easy
Who wrote Romeo and Juliet?,William Shakespeare,George Orwell,Mark Twain,Jane Austen,option1,William Shakespeare wrote this famous tragedy in the late 16th century.,easy
What is the chemical symbol for Gold?,Au,Ag,Gd,Go,option1,Au is the chemical symbol for Gold on the periodic table.,easy
Which planet is closest to the Sun?,Venus,Mercury,Earth,Mars,option2,Mercury is the closest planet to the Sun in our solar system.,easy
What is the largest ocean on Earth?,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,option4,The Pacific Ocean is the largest and deepest ocean on Earth.,easy
In what year did World War II end?,1943,1944,1945,1946,option3,World War II ended in 1945 with the surrender of Japan in September.,medium
What is the most spoken language in the world?,English,Mandarin Chinese,Spanish,Hindi,option2,Mandarin Chinese is the most spoken language by native speakers.,medium
Which country is home to the Great Wall?,India,Japan,China,Thailand,option3,The Great Wall of China is one of the most iconic structures in the world.,medium
What is the smallest prime number?,0,1,2,3,option3,2 is the smallest and only even prime number.,medium
Who invented the telephone?,Thomas Edison,Nikola Tesla,Alexander Graham Bell,Benjamin Franklin,option3,Alexander Graham Bell is credited with inventing the telephone in 1876.,medium
What is the capital of Japan?,Seoul,Bangkok,Beijing,Tokyo,option4,Tokyo is the capital and largest city of Japan.,easy
How many continents are there?,5,6,7,8,option3,There are 7 continents on Earth.,easy
What is the largest mammal in the world?,African Elephant,Blue Whale,Giraffe,Hippopotamus,option2,The Blue Whale is the largest animal known to exist.,easy
Which element has the atomic number 1?,Hydrogen,Helium,Lithium,Carbon,option1,Hydrogen is the first element on the periodic table with atomic number 1.,easy
What is the square root of 144?,10,12,14,16,option2,The square root of 144 is 12 (12 × 12 = 144).,easy
Who is the author of Harry Potter?,J.K. Rowling,Stephen King,George R.R. Martin,Suzanne Collins,option1,J.K. Rowling created the Harry Potter series.,medium
What is the speed of light?,300000 km/s,150000 km/s,450000 km/s,600000 km/s,option1,The speed of light is approximately 300000 kilometers per second.,hard
Which country is the largest by land area?,Russia,Canada,United States,China,option1,Russia is the largest country in the world by land area.,hard
What percentage of Earth's oxygen is produced by the ocean?,10%,25%,50%,70%,option4,Approximately 70% of the world's oxygen is produced by ocean plants and algae.,hard
