question,option1,option2,option3,option4,correct_option,explanation,difficulty
"What is the capital of France?","London","Berlin","Paris","Madrid","3","Paris is the capital and largest city of France, located in north-central France on the Seine River.","easy"
"Which planet is known as the Red Planet?","Venus","Mars","Jupiter","Saturn","2","Mars is often called the Red Planet because of its reddish appearance due to iron oxide on its surface.","easy"
"What is the chemical symbol for Gold?","Ag","Au","Gd","Go","2","Au is the chemical symbol for Gold, derived from its Latin name 'aurum'.","medium"
"Who wrote the novel 'Pride and Prejudice'?","Jane Austen","Charlotte Brontë","Emily Dickinson","George Eliot","1","Jane Austen wrote Pride and Prejudice, published in 1813, one of the most famous novels in English literature.","easy"
"What is the largest country in the world by land area?","Canada","China","United States","Russia","4","Russia is the largest country in the world with an area of approximately 17.1 million square kilometers.","medium"
"What is the square root of 256?","14","16","18","20","2","The square root of 256 is 16, since 16 × 16 = 256.","easy"
"Which scientist developed the theory of relativity?","Isaac Newton","Marie Curie","Albert Einstein","Stephen Hawking","3","Albert Einstein developed the theories of special and general relativity, revolutionizing physics.","medium"
"What is the main gas in the Earth's atmosphere?","Oxygen","Carbon Dioxide","Nitrogen","Hydrogen","3","Nitrogen makes up about 78% of Earth's atmosphere, followed by oxygen at 21%.","easy"
"In what year did World War II end?","1943","1944","1945","1946","3","World War II officially ended on September 2, 1945, with Japan's surrender.","medium"
"What is the smallest unit of life?","Atom","Molecule","Cell","Organ","3","The cell is the smallest unit of life, as all living organisms are composed of one or more cells.","medium"
"Which country is home to the Great Wall?","Japan","India","China","Korea","3","The Great Wall of China is one of the most impressive structures in the world, built over many centuries.","easy"
"What is the process by which plants make their own food?","Respiration","Fermentation","Photosynthesis","Digestion","3","Photosynthesis is the process where plants use sunlight to convert water and carbon dioxide into glucose and oxygen.","medium"
"How many continents are there on Earth?","5","6","7","8","3","There are 7 continents: Africa, Antarctica, Asia, Europe, North America, Oceania, and South America.","easy"
"What is the SI unit of electric current?","Volt","Ampere","Ohm","Watt","2","The Ampere (A) is the SI unit of electric current, named after André-Marie Ampère.","hard"
"Which painting is the most famous work by Leonardo da Vinci?","Starry Night","The Persistence of Memory","Mona Lisa","The Birth of Venus","3","The Mona Lisa is Leonardo da Vinci's most famous painting, painted in the early 16th century.","medium"
